epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.971,1.14903,0.91015,0.89338,0.98848,0.99493,0.99366,0.81248,0.72201,0.46081,0.82998,0.0515711,0.0014978,0.0014978
2,380.485,0.8053,0.48822,0.81572,0.99315,0.99752,0.99456,0.84685,0.62071,0.40985,0.81882,0.00287326,0.00279995,0.00279995
3,570.975,0.72329,0.44573,0.80602,0.99736,0.99883,0.9948,0.87689,0.52941,0.3542,0.80431,0.002604,0.002604,0.002604
4,761.763,0.65122,0.40389,0.79796,0.99842,0.99901,0.99486,0.89143,0.48136,0.32747,0.79658,0.002406,0.002406,0.002406
5,957.078,0.60461,0.37698,0.79357,0.99884,0.99928,0.99491,0.89598,0.45851,0.30605,0.79303,0.002208,0.002208,0.002208
6,1071.58,0.52508,0.33666,0.78586,0.99921,0.99915,0.99495,0.90358,0.43166,0.29107,0.78985,0.00201,0.00201,0.00201
7,1172.83,0.4933,0.31502,0.78231,0.99865,0.99905,0.99496,0.90611,0.427,0.27925,0.78735,0.001812,0.001812,0.001812
8,1274.63,0.46855,0.3015,0.78035,0.99831,0.99931,0.99495,0.90917,0.40977,0.27132,0.78573,0.001614,0.001614,0.001614
9,1375.27,0.45019,0.28736,0.77844,0.99893,0.99927,0.99495,0.91776,0.39148,0.25746,0.78406,0.001416,0.001416,0.001416
10,1476.12,0.43297,0.2767,0.77676,0.99907,0.99917,0.99495,0.91848,0.39003,0.25184,0.78246,0.001218,0.001218,0.001218
11,1577.24,0.41765,0.26736,0.77593,0.99923,0.99925,0.99495,0.92311,0.37374,0.24308,0.78183,0.00102,0.00102,0.00102
12,1679.13,0.40686,0.26107,0.7746,0.99983,0.9993,0.99494,0.9235,0.37392,0.24182,0.78117,0.000822,0.000822,0.000822
13,1779.61,0.39465,0.25398,0.77384,0.99981,0.99958,0.99495,0.92961,0.35652,0.23426,0.77984,0.000624,0.000624,0.000624
14,1879.68,0.38368,0.24799,0.77308,0.99977,0.99966,0.99495,0.92735,0.35885,0.23387,0.77976,0.000426,0.000426,0.000426
15,1979.57,0.37679,0.24365,0.77278,0.99978,0.99944,0.99494,0.93003,0.35271,0.22996,0.77915,0.000228,0.000228,0.000228
